date,sig1,sig4,delta_twit,gap,rsi,macd_signal,return
2015-02-18,-0.18315820485588655,-0.20443412892643154,-0.4152462454513681,-2.1413700372189806,0.09544426968728037,-0.2292874638210155,0.5930662
2015-02-19,-0.18315820485588655,-0.20443412892643154,-0.2890923086733094,-0.7836892347579236,0.10312228582093176,-0.2170563974605709,0.022685528
2015-02-20,-0.18315820485588655,-0.20443412892643154,1.1612710160912112,-0.24298607250563103,-0.2126015511121665,-0.2080377435672805,-0.7708013
2015-02-23,-0.18315820485588655,-0.20443412892643154,-0.7391769992427707,-0.5891889452975583,-0.203661561237517,-0.20150538483326644,0.0228405
2015-02-24,-0.18315820485588655,-0.20443412892643154,0.34656075341484477,-2.2070950859167855,-0.10983352454946702,-0.19632763116778917,0.22841692
2015-02-25,-0.18315820485588655,-0.20443412892643154,-0.24188631942732608,-2.489865644267808,-0.26531307949312777,-0.1932945929967801,-0.34184456
2015-02-26,-0.18315820485588655,-0.20443412892643154,-0.07585146070007458,-3.1008793237317063,-0.10186614806496355,-0.19086322451850612,0.36587715
2015-02-27,-0.18315820485588655,-0.20443412892643154,0.05111637244429425,-0.12452813589912165,-0.18126723511897783,-0.18947443191459104,-0.15949011
2015-03-02,-0.18315820485588655,-0.20443412892643154,-0.08887380256103547,-0.16541523014717488,0.04419277613703226,-0.18760731432344524,0.47923326
2015-03-03,-0.18315820485588655,-0.20443412892643154,0.021002206890822158,-0.15471580361497406,-0.6567873654202084,-0.18969963960085678,-1.476264
2015-03-04,-0.18315820485588655,-0.20443412892643154,0.022629999623442268,-0.14325213233047313,-0.40265162177355496,-0.1928343426137401,0.53019524
2015-03-05,-0.18315820485588655,-0.20443412892643154,1.0611617630350743,0.3557996909214661,-0.19980940954781012,-0.19537037245820374,0.4356742
2015-03-06,-0.18315820485588655,-0.20443412892643154,-1.086710747657165,-0.05001427254986579,-1.365276699119607,-0.20634256218239516,-3.242004
2015-03-09,-0.18315820485588655,-0.20443412892643154,0.01449103596034171,-0.04237182502686519,-1.0467385818421315,-0.2201607668844736,0.7314682
2015-03-10,-0.18315820485588655,-0.20443412892643154,-0.5601197986545582,-0.30450777506578586,-1.5676188960899475,-0.24049715510473615,-2.0379484
2015-03-11,-0.18315820485588655,-0.20443412892643154,0.8918713188425826,-0.5284314874897034,-1.74557604441465,-0.2660235903510573,-0.8369148
2015-03-12,-0.18315820485588655,-0.20443412892643154,-0.32490374879095185,-1.258667348312411,-1.587226772441741,-0.292459913263921,0.36170483
2015-03-13,5.459760870591764,-0.20443412892643154,0.08855560529455685,-2.1249387750445288,-0.861467465774119,-0.3132122739289385,1.8260479
2015-03-16,5.459760870591764,-0.20443412892643154,0.11460028901647866,-2.0702952752550745,-0.09648013322662496,-0.32271527837878355,2.4303913
2015-03-17,-0.18315820485588655,-0.20443412892643154,-0.4925664002508235,-0.8803661959238811,-0.4587240231958491,-0.3278367929412525,-1.2439549
2015-03-18,5.459760870591764,-0.20443412892643154,2.2974703434600503,-1.0408575939068938,0.288215650534821,-0.3218773951521585,2.9391289
2015-03-19,-0.18315820485588655,-0.20443412892643154,-1.5603984328496174,-3.0790983482911543,0.30391952912020065,-0.30890099108012053,0.06797314
2015-03-20,-0.18315820485588655,-0.20443412892643154,-0.3590873961759743,-1.3064326453311648,0.4387881656637297,-0.2904805781255875,0.5661249
2015-03-23,-0.18315820485588655,-0.20443412892643154,1.2353355854254264,-0.7256066335831188,0.31401709880217665,-0.27048554578531414,-0.36028028
2015-03-24,-0.18315820485588655,-0.20443412892643154,-1.390294092290816,-1.5219496654797817,-0.08948282287962987,-0.253838470910606,-1.2203395
2015-03-25,-0.18315820485588655,-0.20443412892643154,0.046232994246433914,-0.6033274732151093,-0.5948583864458185,-0.2449834158946801,-1.7844856
2015-03-26,-0.18315820485588655,-0.20443412892643154,-0.012367544127890165,-0.3037435303134858,-0.5523080506115101,-0.24108056735578912,0.13976097
2015-03-27,-0.18315820485588655,-0.20443412892643154,-0.028645471454091284,-1.4776234698463782,-0.7711019853265184,-0.24265548504690376,-0.8141458
2015-03-30,-0.18315820485588655,-0.20443412892643154,3.144736460788819,-0.00033836365036186907,-0.20607634589945684,-0.24257695019473985,1.8761754
2015-03-31,-0.18315820485588655,-0.20443412892643154,-0.9393955053550448,-1.7229460353346977,-0.397706615124778,-0.24325784471487374,-0.667578
2015-04-01,-0.18315820485588655,-0.20443412892643154,-2.1862847385420507,-0.1390487861928228,-0.5352764642364822,-0.24567036720153215,-0.48668385
2015-04-02,-0.18315820485588655,-0.20443412892643154,0.3229577587918532,-0.16847220915637512,-0.6480229564740464,-0.25008206810713396,-0.3959
2015-04-03,-0.18315820485588655,-0.20443412892643154,0.09995015442289762,-0.3866640859380423,-0.6480229564740464,-0.25548208911035986,0.0
2015-04-06,-0.18315820485588655,-0.20443412892643154,-0.3069980287321306,-0.6820446827020156,-0.36406631228933845,-0.25904545441348026,0.79774857
2015-04-07,5.459760870591764,-0.20443412892643154,-0.021320404157300774,-2.298804456192793,-0.364066312289339,-0.2612169550844524,0.0
2015-04-08,-0.18315820485588655,-0.20443412892643154,0.596426937872032,-1.1023792964670485,-0.23242807198361257,-0.26140498157484165,0.349164
2015-04-09,-0.18315820485588655,-0.20443412892643154,-0.7375492065101505,-0.08096618501801824,-0.1517215151735254,-0.2597175873515222,0.20877123
2015-04-10,-0.18315820485588655,-0.20443412892643154,0.029141170553922725,-0.2899871247720847,0.1212586819348659,-0.2549481964108171,0.71759224
2015-04-13,-0.18315820485588655,-0.20443412892643154,0.05111637244429425,-0.14095939807357294,-0.2990454295942214,-0.2511427771375467,-0.98826885
2015-04-14,-0.18315820485588655,-0.20443412892643154,0.3009825569014816,-0.8459751820703786,-0.6074490438259889,-0.25029496326514494,-0.8124471
2015-04-15,-0.18315820485588655,-0.20443412892643154,-0.20933046477492384,-0.4799019457186496,0.39204672268032564,-0.24342832369049713,2.948749
2015-04-16,-0.18315820485588655,-0.20443412892643154,0.021002206890822134,-0.5975956375728588,-0.05170575988594286,-0.23644688591741594,-1.2048244
2015-04-17,-0.18315820485588655,-0.20443412892643154,-1.9714160978361963,-1.2640170615785113,-0.3974179923234043,-0.23263496498825603,-1.0584414
2015-04-20,-0.18315820485588655,-0.20443412892643154,1.7651821198932731,-0.43442938295679606,-0.16009661230516145,-0.229013713285298,0.74418783
2015-04-21,-0.18315820485588655,-0.20443412892643154,0.10157794715551775,-1.0011168667872907,-0.08618304569128071,-0.2250907436261586,0.23083687
2015-04-22,-0.18315820485588655,-0.20443412892643154,0.08285833073038645,-2.351919466477647,0.012765213281607539,-0.22039442802774875,0.29940605
2015-04-23,-0.18315820485588655,-0.20443412892643154,-2.0292027398442105,-1.613276913379639,-0.13042010064431853,-0.21649478892229942,-0.3673911
2015-04-24,-0.18315820485588655,-0.20443412892643154,1.1694099797543118,-0.04237182502686522,-0.40086857536356196,-0.2152814873404321,-0.7144451
2015-04-27,-0.18315820485588655,-0.20443412892643154,0.4434144210057416,-0.32093903724023715,0.04025510174590289,-0.2125456034376587,1.2302637
2015-04-28,-0.18315820485588655,-0.20443412892643154,0.27412397681324974,-0.7129965951701679,0.6394750026141558,-0.20348271334337006,2.0408154
2015-04-29,5.459760870591764,-0.20443412892643154,0.46132014106456276,-0.510471735810652,0.7735415698662297,-0.18956299438357033,0.5168557
2015-04-30,-0.18315820485588655,-0.20443412892643154,-0.46814950926152177,-1.641553969214741,-0.1571245439147518,-0.18037790890142397,-2.481556
2015-05-01,-0.18315820485588655,-0.20443412892643154,0.15936458916353177,-0.22120509706507926,0.3023517943086885,-0.17007497879840697,1.7193913
2015-05-04,-0.18315820485588655,-0.20443412892643154,-0.17026343919204112,-0.15853702737647435,0.4259999372524019,-0.15838395832567828,0.49583912
2015-05-05,-0.18315820485588655,-0.20443412892643154,-0.012367544127890158,-0.08402316402721847,-0.07296741512370862,-0.15080321758651122,-1.5025854
2015-05-06,-0.18315820485588655,-0.20443412892643154,0.0820444343640764,-0.19101742934922689,-0.4997044865210388,-0.15051809607064887,-1.5027344
2015-05-07,-0.18315820485588655,-0.20443412892643154,-0.34606505431501333,-0.3648831104974906,-0.3517715202895442,-0.15363768237500222,0.50855875
2015-05-08,-0.18315820485588655,-0.20443412892643154,0.34737464978115484,-0.2124162824136286,-0.011751805379957537,-0.15559820600433935,1.2189507
