date,sig1,sig4,sig7,delta_twit,gap,z_diff,rsi,macd,sma_20,return
2015-02-18,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,0.07244688506980074,-0.479093707327803,-0.6622281110762395,1.6838732171414328,0.200907445266751,-1.2536698521214484,1.085186
2015-02-19,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.0504632038295751,-0.5132983738116876,0.008345721509070668,1.6517965857076438,0.1825793417771873,-1.2523636058423055,-0.096827745
2015-02-20,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.01344209271530526,-0.06074432494798379,-0.25031415241475335,1.7346334870540572,0.16675466127310648,-1.2512105930326796,0.75854063
2015-02-23,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,0.011732262842398226,-0.4624298954510388,0.24110252384265066,1.2765373556308217,0.14361694246112763,-1.2504952144319925,-1.3299942
2015-02-24,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.04898235938500431,-0.7492228682774558,0.15301788195668536,1.3628503471214122,0.12393650655084472,-1.2499091565258154,0.64430237
2015-02-25,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.013442092715305264,-0.14669451252287324,-0.349453615880068,1.4598271239126726,0.10757810210322437,-1.2488941002507494,0.72648525
2015-02-26,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.003076181603309713,-0.43524157081000225,0.1761280524125367,1.5874883183563047,0.09519551871833767,-1.2477839629726268,0.9825945
2015-02-27,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.010480403826163678,-0.3677092805725891,-0.03773753013147467,0.992789603964767,0.07389947523195747,-1.2468470082001673,-1.6810536
2015-03-02,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,0.008770573953256634,-0.362447024190453,0.006186004665743762,1.1651392790144088,0.058639678024236495,-1.245738143438709,1.1244178
2015-03-03,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,0.016174796176110597,-0.35279955415653685,0.005926627256708313,0.786619966696838,0.03795505454006953,-1.2452347188900945,-1.1535645
2015-03-04,-0.21017527955029383,-0.23715052139873494,-0.2176336378080759,-0.013442092715305262,-0.36069293872974095,0.00568559420346115,0.46989783041331745,0.01382548932098077,-1.2446387595602788,-1.0406435
