date,sig1,sig4,sig5,sig6,sig8,news_heat,delta_twit,gap,rsi,macd,macd_signal,sma_20,return
2015-02-18,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.3704472109669739,0.10067451050055107,-1.023432155343104,1.5777708894186728,0.3250858002879824,0.28541653709529824,-1.0769940494667618,0.69231987
2015-02-19,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.3704472109669739,-0.04635436625309885,-1.9046148655091133,1.4980665416098649,0.3233792398581699,0.298356009849044,-1.0743529117247934,-0.2058804
2015-02-20,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.3255500897195866,0.03925738476801376,-1.3686498173603319,1.6042181404255604,0.3242601603142876,0.3088967708971157,-1.0716369499321508,0.8135438
2015-02-23,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.21278469741935063,-0.11521599207442858,-0.10948302301952738,1.905485920252755,0.34697067477867466,0.3222065961853161,-1.0683787984382107,2.7066708
2015-02-24,-0.11534196721631887,-0.18944573480940763,2.685066263302147,-0.08993461677306268,-0.15582333415782523,0.3024712729566975,0.29423151280915355,-3.122823632152959,1.6571467382369607,0.351612945203294,0.33385141127194606,-1.0646218788857844,-0.62406063
2015-02-25,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.3024712729566975,-0.5209412469136144,-2.1585546372302606,0.7720757343815976,0.32150986802415277,0.3367024506028058,-1.0623904856332111,-2.5573134
2015-02-26,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.05638269615011797,-0.4074126205595302,-1.4517361021170208,0.9643777113962119,0.30483527745250544,0.3354023157465281,-1.0604715285113022,1.2617469
2015-02-27,-0.11534196721631887,-0.18944573480940763,2.685066263302147,-0.08993461677306268,-0.15582333415782523,0.4370549697414318,0.1304525108557206,-2.7097326670950554,0.5218047741679948,0.2700402589189948,0.3268897731429149,-1.0585880935481828,-1.4990509
2015-03-02,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.8189877556111365,0.4245102643630206,0.13158422571114708,0.6057751256842455,0.24226283169858115,0.31411437331794095,-1.0568382625892343,0.4904151
2015-03-03,-0.11534196721631887,-0.18944573480940763,2.685066263302147,-0.08993461677306268,-0.15582333415782523,-0.5050309077517082,0.21978651192122947,-5.684455707257068,0.6429035757147996,0.2174012166889417,0.29855487552421955,-1.0550483842870468,0.20916462
2015-03-04,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.9087819981059112,0.06531313507878715,-2.0345103247766123,0.4434579168346022,0.18632899247922263,0.27943433453035477,-1.0535349821747917,-0.6338954
2015-03-05,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.5498203620416678,-0.16732749269597536,-5.417643412545448,-0.03541943786880494,0.1401947948955003,0.25423031167587157,-1.0524988242015958,-1.6570628
2015-03-06,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.3704472109669739,-0.13010499225201339,5.350807183666527,-0.0013235281599584675,0.10146992930619783,0.2257507009229552,-1.0512704842686402,0.15029907
2015-03-09,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.8408060600956347,0.08578551032296626,-0.14107921581432453,0.09894514350887855,0.07180993257717405,0.19659735371280146,-1.0500821873658006,0.42654276
2015-03-10,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.25768181866673806,-0.00354849074254255,-1.3932246339785075,-0.4694663558068906,0.024060587536127952,0.1630202234766889,-1.0496834226488096,-2.0685852
2015-03-11,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,2.9044586331140363,-0.09474361683024947,-0.8373656866626319,-0.8763795655039299,-0.03441806619887892,0.12359988472219045,-1.050106216490598,-1.8231511
2015-03-12,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,2.9044586331140363,-0.4371906209146999,-1.2469459636322244,-0.4316785853963288,-0.06455656307438286,0.08559119439219384,-1.0504281199253453,1.8079162
2015-03-13,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,2.9044586331140363,0.4114823892076338,-0.8385359160254022,-0.586755245214204,-0.0968719247915698,0.048244328283725484,-1.050987035916043,-0.69103837
2015-03-16,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.3255500897195866,0.06717426010098528,-0.2417189410125673,-0.32206336133102137,-0.11264607883033241,0.014979243113241199,-1.051328155030778,1.100409
2015-03-17,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.3024712729566975,-0.07241011656387226,-1.0971566051976307,0.04641832355455982,-0.10940135889818325,-0.010936002348666415,-1.051454670417974,1.6726732
2015-03-18,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,0.033303879387228896,0.20489751174364468,-1.6635476167784389,0.2744079878660709,-0.09660825534180828,-0.02892080454505475,-1.0514939126449963,1.1256337
2015-03-19,-0.11534196721631887,-0.18944573480940763,2.685066263302147,-0.08993461677306268,-0.15582333415782523,-0.19096639293485226,0.03739625974581566,-2.492070005619786,0.06425091085484352,-0.09584896956668323,-0.04314558521967418,-1.051646858128564,-0.75892806
2015-03-20,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.23586351418223972,-0.25666149376148417,-2.0157866549722887,-0.2611110710292519,-0.10951940730942276,-0.057461216605076804,-1.0522225837956987,-1.25103
2015-03-23,-0.11534196721631887,-0.18944573480940763,-0.37243028735170974,-0.08993461677306268,-0.15582333415782523,-0.6396146045364425,0.19000851156605988,-0.9274733475959422,-0.026859062232447724,-0.11094418440500346,-0.06921970096801597,-1.0531498440497666,1.0405064
