date,sig1,sig4,sig5,sig8,neutral_news,delta_twit,z_diff,rsi,macd,sma_20,return
2015-02-18,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.30916788679836854,-0.0030701638123910944,0.19360910477633012,-0.5625276061292984,-0.5053366531365968,-1.1987417732745411,-0.11473894
2015-02-19,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.2940949731547516,0.007284558418330163,0.11649815545213436,-0.5820666333827074,-0.4836551764545707,-1.1998032417704216,-0.06891489
2015-02-20,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.6181626164925161,0.004326066352409805,-0.05008147356604454,-0.340258737154304,-0.45832184388961933,-1.2007664038111405,0.8160949
2015-02-23,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-1.153251050840918,-0.001590917779430915,0.646984489618698,-0.14509905640787818,-0.4315176767731035,-1.2015802461108729,0.6726742
2015-02-24,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.26394914586751766,0.013201542550170881,-1.084114862506536,-0.19287521377528472,-0.4103862892336633,-1.2010228039869952,-0.13590455
2015-02-25,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,-0.5880167892052822,-0.010466393977191991,0.5833358386768306,-0.2762406025680622,-0.394674406122568,-1.2000276140567043,-0.2268076
2015-02-26,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.5277251346308144,-0.056323020998957564,-0.6269538726137763,-0.22545020754872175,-0.38035796106288156,-1.1992736428729847,0.14775991
2015-02-27,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.4297511959473042,-0.1894551639653737,0.03710426640915513,-0.41213404512472035,-0.3722563221886954,-1.1980709892558967,-0.46533346
2015-03-02,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.3242408004419855,0.24692241575787927,0.0023366340987941102,-0.38532887221465517,-0.3648000762507125,-1.1971399853724638,0.06842613
2015-03-03,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.30916788679836854,-0.00011167174647073478,0.0022651688862854393,-0.9212589427060836,-0.3695050206853145,-1.196504457112627,-1.3673723
2015-03-04,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.015246070747837926,-0.6317497278204675,-0.07226984430749038,-1.103241567407427,-0.3767970268752777,-1.1960180921227876,-0.51986575
2015-03-05,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,0.2560663748372673,0.6093376938331233,1.3989932330543244,-1.0440367600320437,-0.3808906620162107,-1.1957090203680885,0.12774467
2015-03-06,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.26394914586751766,-0.2042476242949755,-3.1425593622377814,-1.617476646664088,-0.3972161620810821,-1.1956286335845219,-1.7397344
2015-03-09,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,-1.0175948280483655,0.056099677506016084,3.6144684593205567,-1.0974293273444362,-0.4001658477372315,-1.1953745067300015,1.1567473
2015-03-10,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.19612103447124138,0.09751856642890112,-1.9518966172583647,-1.651783880054654,-0.4166604826002646,-1.1954611010695846,-1.9136488
2015-03-11,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.33931371408560246,0.038348725110493934,0.3039444127303125,-1.6825832786459634,-0.42943835519220475,-1.195493465109751,-0.11895895
2015-03-12,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,-0.4674334800563466,-0.3580892117228342,1.1849362814094688,-2.209847954749456,-0.45587093137948886,-1.1960618815398298,-2.2868037
2015-03-13,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.4372876527691127,0.36526209839469365,-1.0104697490011836,-1.8321858537323983,-0.468458391734715,-1.1967637475097932,0.8776188
2015-03-16,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.7764282097504942,0.035390233044573574,0.5505551089751687,-1.6476378228324906,-0.4733607678515385,-1.197407663063853,0.4349947
2015-03-17,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,0.47462362266971314,-0.011945640010152171,-0.7620223055965955,-1.507053556203368,-0.47301213748871324,-1.1980145406620246,0.3248334
2015-03-18,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,7.3375745311376575,2.1477170371111955,-0.004549409845351274,0.09733040733803235,-0.7511244157355627,-0.4562492455958152,-1.1983461562178175,1.9306898
2015-03-19,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,1.9894514438532174,-0.02821734637271415,0.082208353680357,-0.9122945096183841,-0.4455500380652335,-1.1987373404289552,-0.5058825
2015-03-20,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,0.0751914111138638,0.030952494945693035,-0.2447438106546369,-0.4158894574880557,-0.4248469863419835,-1.1990512444420283,1.4071226
2015-03-23,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,-0.9648396302957061,-0.056323020998957564,0.2488476282444744,-0.4368443391214893,-0.40792890143903243,-1.1994681737458872,-0.058305264
2015-03-24,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,0.6554985863931165,0.06941289180265771,0.14778643049072776,-0.39815746823619186,-0.3928832032510331,-1.1998512929630927,0.10501146
2015-03-25,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.052928354856880314,-0.02377960827383361,-0.009117384616534503,-1.4615929193257389,-0.4067492005056675,-1.2006658472432596,-3.3566475
2015-03-26,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.14336583671858205,-0.00011167174647073478,-0.31469061247507935,-1.6069861731887396,-0.4212534119968837,-1.2015818108207654,-0.6029904
2015-03-27,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.06046481167868879,0.011722296517210703,-0.21566903124185446,-1.7448950566477894,-0.4359084230037597,-1.2025090361918405,-0.5823791
2015-03-30,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,-0.678454271066984,-0.03413433050455487,-0.1128642814086361,-1.7508237246263985,-0.4462912688090983,-1.2034491498312416,-0.024414063
2015-03-31,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,0.28621220212450116,-0.00011167174647073478,0.5882523246489364,-1.93357056753342,-0.4586258959204219,-1.204294280339506,-0.7446289
2015-04-01,-0.13348172885319995,-0.0741656932483308,-0.2989851726963273,-0.13628481670017936,0.7082537841457759,0.02207701874793196,-0.5441486809337516,-1.8572420751879584,-0.46555435646513527,-1.2050460500737332,0.1598835
2015-04-02,-0.13348172885319995,-0.0741656932483308,3.3446474652295817,-0.13628481670017936,-0.4297511959473042,-0.004549409845351273,0.3910893860055897,-2.117736955151468,-0.47725896353414987,-1.2059539696199277,-1.0559916
