date,sig1,sig4,sig7,sig8,news_sent,neutral_news,delta_news,delta_twit,gap,z_diff,rsi,macd,macd_hist,sma_20,return
2015-02-18,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,1.3146068283419021,-0.7260240976730546,0.30165614180114203,0.1120221655035879,-1.2759714127801711,0.2065557736449925,1.1477896631886944,0.24711823227539143,-0.06898327325491972,-1.561408420782624,-0.5486965
2015-02-19,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.04685451275049096,-0.44897553832782716,-1.121631391417161,0.2757931572319048,0.2552577213224671,-0.741445634749969,1.367925288663067,0.233464598197051,-0.09009803714824359,-1.5584489454962047,1.5065432
2015-02-20,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,3.1233359329995873,-0.9004620794830127,2.7230039817630702,-0.05584310101793694,-3.048490698032596,1.8307064044491348,1.5356171880324274,0.2250744270583195,-0.09352393213882351,-1.5553776414423326,1.2308836
2015-02-23,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,-0.2685712508424641,-1.0851611190464976,-3.0015028350768005,-0.1677532786989535,0.4396657836080454,-1.9972567776232124,1.207744104002314,0.2079978726386381,-0.11848768076682552,-1.5523403798752187,-0.91747046
2015-02-24,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,1.040661713111856,-0.6849798666589468,1.1589937692797654,-0.014900353085857718,-0.9603675648884351,0.7813218140603815,1.0641929884165946,0.18741652429946087,-0.14742525956037766,-1.5492445105532928,-0.40774345
2015-02-25,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.913627227500447,-0.9004620794830127,-0.11209912712475896,0.11338692376799053,-0.7493533642631462,-0.07116632855022907,1.3475944314442359,0.17745822514192458,-0.14339757081787488,-1.5457340784158289,1.7908335
2015-02-26,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.11426056634021836,-0.9107231372365396,-0.7071113253213415,0.19527241963214895,0.23048648907515054,-0.46346355218672913,1.2919545213789985,0.16434712149028094,-0.14824147849292515,-1.5425873591096952,-0.14790893
2015-02-27,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.3951191229640824,-0.43871448057430024,0.24888513707676654,-0.4475287229014948,-0.36861035009142984,0.1830998241509883,0.845328969618859,0.14249786670435216,-0.17447207889085992,-1.5414828606332425,-1.2058139
2015-03-02,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.3951191229640824,-1.1467274655676594,0.0003260568532584705,0.19117814483894105,-0.24016692362386283,0.012044459337896881,1.1041511981961731,0.1300320016249879,-0.17145032221316403,-1.54056991557024,1.4454484
2015-03-03,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.3951191229640824,-0.7670683286871625,0.0003260568532584705,0.016489086995403024,-0.22915748706949993,0.011343803797779545,1.0029754707698368,0.11474775363659437,-0.1762433994551872,-1.5396623572494077,-0.27097464
2015-03-04,-0.1430696489513435,-0.1925228634476322,-0.11854642313401878,-0.15582333415782523,0.3951191229640824,-0.7157630399195277,0.0003260568532584705,-0.04628979316711844,-0.2603508906401948,0.01070731797041121,0.8158624702929584,0.09609721184522874,-0.1886901057957764,-1.5388879600569012,-0.49140453
