date,sig1,sig4,neutral_news,delta_news,delta_twit,rsi,macd,macd_signal,return
2015-02-18,-0.11370770504641621,-0.27745901235129633,-0.02146791180865315,1.1295501591051116,0.2964156900779243,-0.27696506495914436,-0.252608533533472,-0.27570771513963793,1.4682531
2015-02-19,-0.11370770504641621,-0.27745901235129633,0.07043687223401206,-0.558360167066706,0.01260310373601039,0.6561324617737557,-0.21370736593923875,-0.26522635593793453,3.5327792
2015-02-20,-0.11370770504641621,-0.27745901235129633,-0.1669838198762064,1.151600399354301,0.2885755633833963,0.7860275056923841,-0.1782471770071527,-0.24932184892369869,0.5980849
2015-02-23,-0.11370770504641621,-0.27745901235129633,-0.6571426681037542,-1.1501601634320462,-0.5816784997092126,0.3042795366441674,-0.16272500677280724,-0.2333067292107094,-1.3204813
2015-02-24,-0.11370770504641621,-0.27745901235129633,-0.19761874789042813,0.17285425151931536,-0.5079813087806493,0.13596603698901952,-0.1556819321807683,-0.21900113227467394,-0.49467087
2015-02-25,-0.11370770504641621,-0.27745901235129633,-0.013809179805097717,-0.26530536117425396,0.7150784555657198,0.4867878981973559,-0.1388547348606839,-0.20398840644398358,1.4149189
2015-02-26,-0.11370770504641621,-0.27745901235129633,-0.18230128388331726,0.5939427104715764,0.006331002380387969,0.7289254560533127,-0.11741500098364488,-0.18743187785736748,1.0683894
2015-02-27,-0.11370770504641621,-0.27745901235129633,0.598889380479337,-0.4161005525558069,0.006331002380388024,0.10593198005799992,-0.117807740795266,-0.17426993642415567,-1.7908275
2015-03-02,-0.11370770504641621,-0.27745901235129633,-0.5958728120753107,8.819888572882662e-06,-0.12381510074877691,0.343025909940774,-0.11086958903532189,-0.16226913125469772,0.9877205
2015-03-03,-0.11370770504641621,-0.27745901235129633,0.721429092536224,8.819888572882662e-06,-0.14419943015454972,0.2786610827987183,-0.1085017655401471,-0.15216638436501875,-0.18808842
2015-03-04,-0.11370770504641621,-0.27745901235129633,-0.044444107819319456,8.819888572882662e-06,0.047099661191933644,0.6609547396750702,-0.09383928913924842,-0.14097497292833386,1.6268849
2015-03-05,-0.11370770504641621,-0.27745901235129633,1.0201196406748858,-0.7091553584482592,0.06277991458098967,0.7476577157775017,-0.08049624799531487,-0.12919241932219733,0.38939714
2015-03-06,-0.11370770504641621,-0.27745901235129633,-0.1899600158868727,0.3229381448283138,-0.0015091243141400175,0.20444868820897663,-0.08506698693916404,-0.12073561279156578,-1.48381
2015-03-09,-0.11370770504641621,-0.27745901235129633,-0.6035315440788661,8.819888572882662e-06,0.054939787886461644,-0.029433356691352965,-0.09657722192655907,-0.11641094100284705,-0.7062018
2015-03-10,-0.11370770504641621,-0.27745901235129633,-0.45035690400775746,8.819888572882662e-06,-0.08147841659832565,-0.7092948126892907,-0.12797509792397704,-0.11960919984723402,-2.3791552
2015-03-11,-0.11370770504641621,-0.27745901235129633,-0.5192854920397564,0.8941104970895737,-0.16301573422141694,-0.7015889897626227,-0.15357684074484396,-0.1275967190045075,0.02578497
2015-03-12,-0.11370770504641621,-0.27745901235129633,-0.565237884061089,-1.3144700181921347,-0.15674363286579454,-0.20123805080751148,-0.15959889055115647,-0.13526372469692846,1.7532587
2015-03-13,-0.11370770504641621,-0.27745901235129633,-0.7796823801606412,-1.9091152068476929,0.5143712121858028,-0.5140157526015349,-0.17486347829927212,-0.14463422235727305,-1.1149108
