date,sig1,sig4,sig8,news_sent,news_heat_z,news_sent_z,delta_twit,gap,rsi,macd,macd_hist,sma_20,return
2015-02-18,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.3205209322987004,-0.11721103031233375,0.272692290109581,3.2098204005701816,0.8955033532226924,0.19928895343920036,-0.004013270621178342,0.4281672890535879,-1.4418522082894898,-0.64606667
2015-02-19,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,-1.3514576173430983,0.6424963214324476,-1.4159339817247676,-3.309928957278924,1.1849522140193627,0.1961995432184231,-0.0004014519773043205,0.35168218769500953,-1.4400860783481129,-0.0074267387
2015-02-20,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.0640283808586088,-0.3404280306837269,0.14167619508447518,0.0031142965129928443,-1.2444484323647882,0.6299418035472447,0.029562455099329126,0.3498622696600033,-1.4378460358212317,1.449275
2015-02-23,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.5097436298651913,-0.7965872463859377,-0.21828622452394952,0.5144376122587064,-0.312631022276453,0.6309950145949452,0.04925871170511832,0.32527452354018693,-1.435345265435685,0.0036716461
2015-02-24,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.8852443778421046,-0.15966514895454004,0.03050728578202841,-0.4116760038706981,-0.9889236346482572,0.5321505287467915,0.05636564842051063,0.27724206617787567,-1.4321080697297455,-0.19779801
2015-02-25,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.7493902722064631,-0.8383040902719574,-0.06017363112663129,1.226368600553623,0.0381000169875651,0.5981912092193339,0.06201337952493663,0.23552868127153834,-1.4281091491945266,0.19818544
2015-02-26,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.020668849576881584,-0.08386418427704297,-0.5480157215756256,-0.9690033347498754,0.06928826852898334,0.6913134161364382,0.06802622927093943,0.20298054280246125,-1.4242426201064,0.27104616
2015-02-27,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.06359874695774433,0.29353554819988686,-0.510537772425644,-0.10473118158676681,-0.04944595225150334,0.19923139838612378,0.049266593681027745,0.12113252939992346,-1.421754073899827,-0.89132786
2015-03-02,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.06359874695774433,2.287760639326701,-0.5029508193497654,-0.11906030105456701,-0.13535043456733933,1.0179099910202687,0.08534218777681374,0.17919145672505507,-1.4182987720360958,2.5727034
2015-03-03,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.06359874695774433,0.7717281010020758,-0.4956958025215804,-0.011968987137323183,-0.143557869183502,0.4857040147135818,0.08561466034153536,0.14497836695891547,-1.4159402708948468,-1.0744274
2015-03-04,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.8248113724182018,-0.7724505230877492,0.7356987205868047,0.03177253544859332,-1.8933829293493836,0.2276304665267716,0.06914978740242213,0.07990061970700454,-1.414561816069153,-0.5630195
2015-03-05,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.8248113724182018,-0.5047708504985916,0.722900585133675,-0.04138139025543944,-1.9229296939675693,0.2750623969790383,0.05492922015673119,0.032894579283107635,-1.4141451681566124,0.13881922
2015-03-06,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.8248113724182018,-0.031001214648356527,0.7107497136376272,0.5536541497495281,-1.5207653977755984,-0.47788221399257624,0.0019953039392225816,-0.09192688561652933,-1.4137902280519754,-1.7473519
2015-03-09,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.8248113724182018,-1.220895485103864,0.6991931316856578,0.44279201491970516,-1.1990339608220215,-0.19189617678764428,-0.02667367499647185,-0.1371180011185249,-1.4128395940828673,0.7722616
2015-03-10,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.8248113724182018,-0.3707528847019337,0.6881837542927678,-0.06400631573091342,-1.2449955946725326,-0.9979983010986938,-0.10123385862304782,-0.2766583927570875,-1.4126728034340865,-2.2916496
2015-03-11,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,2.622003264288147,-0.7846850439759679,1.2317444225268985,-0.3694428096498132,-2.315245068620145,-1.0495988922910504,-0.1655541749433238,-0.36522148658573295,-1.4128557989804496,-0.16968846
2015-03-12,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.31737421628512286,-0.8760794636030172,-0.42270398981971913,-0.2759264510178538,-0.1944439638037106,-0.38251779205129277,-0.1796226186061394,-0.3228603891692365,-1.4130520851852095,1.8243551
2015-03-13,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.29292047727070736,-0.8092546450608962,-0.4353622968783328,-0.10322285322173516,-0.24423573380843078,-0.919316104384438,-0.22787721671970984,-0.36598890576729465,-1.4137309479298101,-1.6878068
2015-03-16,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.29292047727070736,-1.0563289990995977,-0.43043941256700136,-0.18542674911595758,-0.3782904992057544,-0.42341146614451103,-0.23524964108798238,-0.3083889787631934,-1.4138209717509362,1.5054822
2015-03-17,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,-0.013022968620757533,-0.932081108185358,-0.6473222532504245,0.618512269445887,0.3789821347121881,-0.9161569677820245,-0.27738864854668616,-0.3406340693081331,-1.41476105335396,-1.6801655
2015-03-18,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.2591148765513902,-0.0704433760581777,0.293410097936475,1.0868482267881998,-0.11291677994982784,-0.5393960440433251,-0.28584931338558667,-0.29055678768068544,-1.4149750307945097,1.1984944
2015-03-19,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.8493788939542953,0.30665417202492895,-0.013093278997830747,-1.6620802184818972,-0.9057549638711421,-0.5878700610827985,-0.29612125657535926,-0.25457555996556586,-1.4152495409465173,-0.1606524
2015-03-20,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,3.6729706254854695,-0.5634662634551955,2.0154489005266147,-0.21634748059910544,-3.9052987349247266,-0.30087423362641486,-0.2854524760726247,-0.17861358452506762,-1.4157453998873202,0.8980751
2015-03-23,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,3.6729706254854695,-0.3942691906696368,1.9253313857523893,1.7180836475539256,-2.6583158355757446,-0.4655127373558362,-0.28773541695169397,-0.14702271267462094,-1.4164375253420773,-0.48954487
2015-03-24,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,0.8135134100664859,0.5435218764119764,-0.1072132818668443,-1.0783571412146666,-0.56104270999231,-0.4551321290101754,-0.28913818471950176,-0.11976708845520966,-1.4170381997099173,0.029814243
2015-03-25,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,-0.08258027070620602,0.04015570038758859,-0.740068792996231,0.1366013568182897,0.44081147548728017,-1.1097181511646679,-0.3335294972917613,-0.19481073619427683,-1.4185272552482857,-2.0417213
2015-03-26,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.4531145393990863,-0.18377699469221806,0.3621523875107971,-0.79931639368382,-1.6849140900988515,-1.1704110271312091,-0.3724301387580592,-0.24247581666604198,-1.4202081621139082,-0.21300316
2015-03-27,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,2.1019537479149104,-0.9244472200355078,0.825045959141427,0.3070424620668609,-2.1149836639857758,-1.193252493001818,-0.40375619621950865,-0.26354323209173,-1.4215585213363617,-0.07622242
2015-03-30,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,2.1019537479149104,-0.4649947829552977,0.8174224790952166,3.6087732531210404,0.5037351408778608,-1.1129567324697116,-0.4234461063208029,-0.2541822898299949,-1.4238681194098435,0.18309355
2015-03-31,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,3.114338543111711,0.3689164750953745,1.4849153812529288,-3.2955998378111238,-2.9061803609838575,-1.2409818716932641,-0.44542685162022816,-0.2518545189125171,-1.4258840354740063,-0.3807485
2015-04-01,-0.19455105641024065,-0.16303927308344354,-0.13628481670017936,1.1036977797042162,-0.8574436292716964,0.04796597694254273,-1.3046063959694072,-1.8277234524200823,-1.359761364458399,-0.4683232309039286,-0.2520551181034651,-1.4278069696499358,-0.35163164
