date,sig1,sig2,sig3,sig4,sig7,news_sent,news_heat,rsi,macd,sma_20,return
2015-02-18,-0.1291712266110556,1.2452701210655481,0.8672235451809953,-0.16538158245603196,-0.33387336338903306,2.2015931102138606,0.1967955256034038,-0.23830500132577576,-0.164043071260073,-1.2577568993102906,-1.2146413
2015-02-19,-0.1291712266110556,-0.8030386203632058,0.8672235451809953,-0.16538158245603196,2.995147590839071,0.5554102394635445,-1.5508193958758054,-0.3030438424313389,-0.1541938838273801,-1.2566668898463222,-0.2358079
2015-02-20,-0.1291712266110556,-0.8030386203632058,0.8672235451809953,-0.16538158245603196,2.995147590839071,0.6664123923258432,-0.895463800321102,-0.05311860015505362,-0.132322682372335,-1.254593224438852,0.96235275
2015-02-23,-0.1291712266110556,-0.8030386203632058,0.8672235451809953,-0.16538158245603196,-0.33387336338903306,-0.3011912797945717,-0.2401082047663985,-0.27705285867862783,-0.12936311336071213,-1.252878472526931,-0.75250864
2015-02-24,-0.1291712266110556,1.2452701210655481,-1.1531052236263872,-0.16538158245603196,-0.33387336338903306,-0.2812946674890653,3.109545315232802,0.3200045743570616,-0.08839494629673537,-1.2498078530049421,2.4768353
2015-02-25,7.741662181555933,1.2452701210655481,-1.1531052236263872,-0.16538158245603196,-0.33387336338903306,0.6465157800203368,1.3619303937535927,0.43451181028131514,-0.04977567161889755,-1.2455608354481928,0.5261421
2015-02-26,-0.1291712266110556,-0.8030386203632058,0.8672235451809953,-0.16538158245603196,-0.33387336338903306,-0.5378562472179632,0.9250266633837904,0.5902493985226905,-0.01013331793149372,-1.2416328625290087,0.7196665
2015-02-27,-0.1291712266110556,-0.8030386203632058,-1.1531052236263872,-0.16538158245603196,-0.33387336338903306,0.5051451136391074,-0.6770119351362007,0.4171811806364764,0.009487814173181057,-1.2370468822718657,-0.48717856
2015-03-02,-0.1291712266110556,-0.8030386203632058,-1.1531052236263872,-0.16538158245603196,-0.33387336338903306,0.5051451136391074,0.26967106782908695,0.6012723580522257,0.034946869493789744,-1.2328596834835985,0.79960823
2015-03-03,-0.1291712266110556,-0.8030386203632058,-1.1531052236263872,-0.16538158245603196,-0.33387336338903306,0.5051451136391074,0.6336992559732061,0.6756935651917702,0.0567062241742586,-1.2293703582373023,0.32378435
