date,sig1,sig4,sig7,delta_news,delta_twit,z_diff,rsi,macd,sma_20,return
2015-02-18,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-3.6775024770694547,-0.495814867118801,-3.0150338135029173,0.015140108082137404,0.0494727284731862,-1.2992661051176386,-0.43302178
2015-02-19,-0.10157202105193536,-0.1777715072884621,11.119188982851384,1.9365900019176123,0.11454018104417427,1.5773055887065246,0.20777291173936774,0.04159349425618196,-1.2987856085179694,0.7002592
2015-02-20,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.18952039476262147,0.5564372359141684,0.15524088339255207,-0.09094965271526574,0.022017114449473872,-1.2987934904651204,-0.8509457
2015-02-23,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-1.2877569190087361,-0.15889888053283865,-1.046136276970157,-0.4942777274926513,-0.011237388130361325,-1.2988838116627248,-1.2550771
2015-02-24,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,1.848852670735943,0.2610253926032884,1.5280963196634565,-0.2812006879252453,-0.03180579437350867,-1.2979669320099603,0.6822467
2015-02-25,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.8391998133424515,-0.09786337571654112,-0.7020693840887595,0.1814067553871327,-0.03111829563748135,-1.2961342229263437,1.6114354
2015-02-26,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.36938192368504374,0.04373899545726914,0.3113286099519279,0.7072438461569622,-0.006558728233346645,-1.2937154678277214,2.185142
2015-02-27,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.6040792845960091,0.0022348521821868284,0.5050533358524588,0.8377942881741062,0.01743241065390568,-1.2923984388344065,0.59719086
2015-03-02,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.0008851327220324314,-0.17843024207405384,-0.012871721996865919,1.268835440606925,0.060644145510541314,-1.29014982602499,2.2021651
2015-03-03,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.8808750456537446,0.04862183584257294,-0.7625955005976274,1.385329990102907,0.09944125853166397,-1.287760744449924,0.65648556
2015-03-04,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-2.3548622095057894,0.10233308008091477,-1.8831910145243003,1.3503002307616268,0.12499619645132615,-1.2850179810994136,-0.08032918
2015-03-05,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.8245193291899532,-0.000206568010465079,0.7284565801344942,1.4531755771745154,0.14775026799287055,-1.2823080398250741,0.5368829
2015-03-06,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-6.721987869073381,0.007117692567490622,-2.9210464678488917,0.8050784805170256,0.14240515336037213,-1.2802587103215337,-1.4679134
2015-03-09,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.0008851327220324314,-0.12471899783571203,0.8852975935659987,0.8542334363767773,0.13655408423240642,-1.2779050763774205,0.20945072
2015-03-10,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,7.483782765878658,0.05838751661318055,3.1128246834049063,-0.07493754558738668,0.09633383169532468,-1.2768710927551583,-2.482152
2015-03-11,-0.10157202105193536,5.625198409199195,-0.08993461677306268,-0.3950295742352504,0.01688337333809823,-0.16157243252219272,-0.306174408843942,0.05187489497091235,-1.2759421366069605,-0.7430494
2015-03-12,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.9923169750748959,0.014441953145446326,0.41968275375633646,-0.025489997769284355,0.025840728103161337,-1.2751460419831941,0.98615885
2015-03-13,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.027629499912010087,0.06815319738378815,-0.01229478633741699,-0.47497188974097193,-0.015535385133856548,-1.2750494194541144,-1.4558911
2015-03-16,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.3390970256069363,-0.0441521314781993,-0.1456184682193283,-0.040001530261136634,-0.031423719787604124,-1.2744990809841366,1.5623927
2015-03-17,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.44218838974539776,0.02664905410870583,-0.1899843931973445,-0.26021804603810295,-0.055076898318517295,-1.2738374200479863,-0.7175505
2015-03-18,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.7905211133570567,-0.0636834930194145,0.3474665905758267,0.1483569869679309,-0.05682754244153078,-1.272602840870738,1.5333295
2015-03-19,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.1537519134856598,-0.012413668973724586,-0.06824135197618103,0.004535220220057974,-0.06572167495588326,-1.2716985681071695,-0.43979883
2015-03-20,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.2586135430681862,-0.24923142766095902,0.11505488687808077,0.06800425251187567,-0.07180489249271599,-1.2704828865849798,0.22708178
2015-03-23,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.0035017338370510855,0.170692845475168,-0.002497685089178981,0.08994363538876694,-0.07751146408554035,-1.2688880622736138,0.07433891
2015-03-24,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.20268099443987203,0.10233308008091477,0.09078418416149009,0.6685022505427998,-0.05697018479184485,-1.2668458296921927,2.152574
2015-03-25,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.5426631527688407,0.06327035699848435,0.244961821556934,0.007422887303877992,-0.06613328029111444,-1.2658128973484046,-1.824975
2015-03-26,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.04408024950857318,-0.2541142680462628,-0.02484088007128311,-0.18360129775401543,-0.08264570131349727,-1.2655844656299284,-0.5925894
2015-03-27,-0.10157202105193536,-0.1777715072884621,11.119188982851384,-0.6110827522701112,-1.61154389516072,-0.2864692420172816,-0.5151857286516498,-0.11074265738722741,-1.2658512304482135,-1.0804772
2015-03-30,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.05572096471057575,1.7332017687723846,0.04246764150396804,-0.31746084571948713,-0.1262795579425112,-1.266580378179579,0.64299107
2015-03-31,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-2.047781550369947,0.03641473487931344,-0.9425318429606435,-0.6645568621189413,-0.1538751135806899,-1.267845681102296,-1.1467874
2015-04-01,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,2.006779866862948,0.053504676227876746,0.9459689459471069,-0.92534408226413,-0.18790481403135048,-1.2693601613242271,-0.93924403
2015-04-02,-0.10157202105193536,-0.1777715072884621,11.119188982851384,-0.1636223632435976,-0.8644693162092382,-0.076144583304766,-1.2973767926436597,-0.2331313302676775,-1.2714672509198368,-1.4886558
2015-04-03,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-2.4744043232408144,-2.0998279336911,-1.146932534989184,-1.2973767926436597,-0.2685925673583549,-1.2731261408809926,0.0
2015-04-06,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,1.3662973492367618,2.8562550573922594,0.6491050904657837,-1.1115572833769838,-0.2901823736840601,-1.274709408525075,0.48770905
2015-04-07,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,2.102194214523013,-0.005089408395768873,0.966436849116107,-1.045890829258769,-0.3044698135407224,-1.275496581545391,0.16729832
2015-04-08,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-3.008505326809226,0.024207633916053933,-1.3731166233560819,-0.7582048980879215,-0.3061091821052427,-1.2758562962857456,0.73046684
2015-04-09,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,2.1877381124251407,0.046180415649921036,0.997330244180281,-0.8081682254880733,-0.30839594765504913,-1.276546843607298,-0.149405
2015-04-10,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.38802610656114844,0.03153189449400964,0.17484806509305448,-0.7675252409994058,-0.3082114501811013,-1.2767810483766093,0.09487867
2015-04-13,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.7755902482357414,-0.01729650935902839,-0.3620397104842079,-0.7591924274145266,-0.30701824164223684,-1.2774637158641335,0.018239021
2015-04-14,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.522922253252965,0.08280171853969957,0.23912658395239458,-1.330021143927684,-0.3247892643102631,-1.2784000203960355,-1.6148984
2015-04-15,-0.10157202105193536,-0.1777715072884621,11.119188982851384,0.31344937505672965,-1.657930878821106,0.1428455527874117,-1.2159631800760038,-0.3349193904488617,-1.2797191498331755,0.23342371
2015-04-16,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-2.1596466476265754,1.1033153590681943,-0.9742734648248084,-0.9897795495989817,-0.33625943652584556,-1.2807772875028656,0.45838356
2015-04-17,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,1.7380842901190854,0.36356504069466816,0.8046263427562472,-1.6238293937828323,-0.35991225549980344,-1.2824687396261178,-1.9833744
2015-04-20,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,-0.2217483451514535,0.1389543829706933,-0.1014601268057684,-0.6938213501441343,-0.351050197876405,-1.2835631152345983,2.2130966
2015-04-21,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.01843259895836635,-0.007530828588420781,0.010557338403742135,-0.7899095384773376,-0.34632668532336675,-1.2853808549579961,-0.2947569
2015-04-22,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.12700754629568206,0.03153189449400963,0.05993618766589032,-0.3583247265368491,-0.3275821438231831,-1.2863166396617483,1.1520982
2015-04-23,-0.10157202105193536,-0.1777715072884621,-0.08993461677306268,0.08423559734461827,-0.049034971863503085,0.040181968679841036,0.136509551149371,-0.293604574661377,-1.2866411698549092,1.5077114
2015-04-24,9.845230897676876,-0.1777715072884621,-0.08993461677306268,1.914655669122195,5.500313126034269,0.9134661824019812,0.8791943195739377,-0.23063014286263167,-1.2857951865206112,2.9060245
