,rsi,macd_signal,macd_hist,JPM US Equity_news_sentiment,V US Equity_twitter_sentiment,V US Equity_news_heat,V US Equity_neutral_news_count,return
2018-02-20,-0.045436063384886066,-0.22096258354200213,-0.17565039323264708,0.25539696573552695,-0.10394567200089364,-0.35490171736069387,-0.22237649186791136,0.026250260460345398
2018-02-21,-0.00673950563771517,-0.2278317501204275,-0.08574637761727351,0.03763522583620898,-0.0230195531798077,-1.2914809182883378,0.3133077699191625,-0.0058904870824667555
2018-02-22,-0.27862076586587514,-0.23736220710850553,-0.11638943414270818,0.1922955524692473,-0.0107580200250977,0.8697227020911249,0.23678144680672336,0.0034460364165775914
2018-02-23,0.15388091457759592,-0.23392262247078222,0.03295229768600433,-0.06258466582199985,-0.03650723964998869,-0.35490171736069387,0.7724657085937973,0.02001389774815432
2018-02-26,0.5401946271377013,-0.20807439901026645,0.2909734379622743,0.10568576955474585,0.22466341654533406,-0.35490171736069387,-0.7580607536549852,0.013499550004831384
2018-02-27,0.2046879906502311,-0.17881155736558813,0.3302905818750749,0.3073628354842278,-0.11130259189371963,0.1492638632014273,0.23678144680672336,-0.002073718803303759
2018-02-28,-0.24543106921520577,-0.16255975706242037,0.18047676454924874,0.23807500915262664,-0.05244723275111167,1.1579408169049301,-0.3754291380927896,-0.011153861483418015
2018-03-01,-0.7250886025295774,-0.1719292140814679,-0.11453562249791348,0.19971924814763314,-0.17138410435179857,-1.0753605562503914,-0.14585016875547224,-0.023351575080505782
2018-03-02,-0.6493178334743982,-0.1947150553586679,-0.269016704193607,0.06485544332362371,-0.09781490542353864,-1.507601280326284,-0.3754291380927896,-0.02435732473931085
2018-03-05,-0.23134546884867263,-0.21166084934398707,-0.20177229575654634,0.14899066101199657,-0.19100255739933455,-0.2829768608744652,-0.681534430542546,-0.010929258217881488
2018-03-06,-0.11177858120565573,-0.22017203719667286,-0.10465320211888643,0.1551770740773181,0.4331094801754039,-0.9313379469883041,-0.4519554612052287,0.0013853774716696687
2018-03-07,-0.16894706929929518,-0.22463503847344007,-0.05804092349591247,0.1873464220169901,-0.1505394979887916,-1.1474583090262502,-0.9111133998798634,0.022206451705095276
2018-03-08,-0.07011348534055772,-0.2233979850042399,0.007591560334196502,0.1737363132732827,-0.18241948419103757,0.07733900671519864,-0.681534430542546,0.0443036596883466
2018-03-09,0.6055735246334322,-0.195667603192544,0.3126452872786212,0.114346747846196,0.336243368253195,-0.7871424414365863,-0.6050081074301069,0.02635231084546996
2018-03-12,0.474200456553408,-0.15617031190137715,0.44813372213761976,0.4447012055343659,-6.1219061443325575,-1.0032628034745328,-0.5284817843176678,0.010704853748034093
2018-03-13,0.05551085100491717,-0.12240624489782385,0.38211931225543516,0.08341468251958832,-0.07451799242958965,-0.643119832174499,-0.5284817843176678,0.0010373098503433376
