,rsi,macd_signal,macd_hist,sma_20,MSFT US Equity_news_heat,AAPL US Equity_news_heat,GOOGL US Equity_news_heat,return
2018-02-20,0.06820108294552858,-0.40529873627891944,0.17488205593164413,-1.3525587294878978,-0.7719592468187153,-1.2072379161928022,0.0216102914585498,0.030541579807966013
2018-02-21,-0.11725038170613851,-0.3888919313849349,0.1779232209019105,-1.3542188805823294,-0.9337226202374486,-0.8398904943425148,-0.6616594491484729,0.013178231731994172
2018-02-22,-0.0871962703932652,-0.3724949742322154,0.17780644272851226,-1.3553596929415521,-0.5023967613537382,-0.7875022435746986,-0.346498129680289,0.01501172010455476
2018-02-23,0.4049511605744423,-0.34698879013938216,0.28582703897503453,-1.355206448548679,-0.340633387935005,-1.1547237321298711,-0.346498129680289,0.03245021168776807
2018-02-26,0.7266920497380054,-0.3095239983166896,0.42763665089381975,-1.3550617212381597,-0.23283427588876127,0.26202583791323275,-0.8709265652753468,0.021118788139725453
2018-02-27,0.38579883229858625,-0.27152821484822476,0.43393334704107034,-1.3549765924742858,0.036857620274950945,0.10460921901955454,0.8095135901290095,0.020356332564654078
2018-02-28,0.1552758804302244,-0.23879528521660218,0.37152447160614743,-1.3547807661746147,0.5221477405311507,-0.15783576799998594,-0.451131687743726,0.002242409556896696
2018-03-01,-0.33772455105735066,-0.21927573707817233,0.21483528637550517,-1.3559811560506492,0.5759825912049049,-0.7349880595117676,-0.24060392633897912,-0.008932430233643984
2018-03-02,-0.09813898214125893,-0.2048033268254381,0.15498445080674683,-1.356687775963398,-0.7181243961449608,-1.3646545350864803,-0.8192401088825648,-0.014273254737273922
2018-03-05,0.14792276389757666,-0.1896747877004091,0.16276507066239337,-1.3550786923133689,-0.6641601347724715,-0.21022401876780186,0.1262438495219868,-0.002039257964333685
2018-03-06,0.20117758696363708,-0.17419838314333183,0.16689018815375098,-1.3509751339954317,0.9534735994148609,-1.3121403510235492,-0.24060392633897912,0.010708383521206288
2018-03-07,0.3390230128115973,-0.15699617728566626,0.18735538094323312,-1.3481060268730007,1.0074378607873504,-0.7349880595117676,0.33677161092673363,0.032219396363392994
2018-03-08,0.4483161012067818,-0.13789935664015618,0.20982242676236895,-1.3442663754340123,-0.17887001451627177,-0.7349880595117676,-0.6616594491484729,0.04181418149722704
2018-03-09,0.883062477640826,-0.1098114783994148,0.316441727028872,-1.3370297925997792,-0.8259235081912047,-0.9973071132361928,-0.7662930072119098,0.03451835599188868
2018-03-12,0.9501661573758656,-0.0765181600063484,0.37816976966919646,-1.330899953795353,0.09069247094870518,0.2095116538503016,-0.6087123474778179,0.020431786945452002
2018-03-13,0.4778080818316811,-0.048016317023402554,0.3213506746895182,-1.3264303116499965,0.2524558443674384,0.3669282727439798,0.9141471481924465,0.01393283707969406
2018-03-14,0.44343648817059655,-0.02508809162417789,0.2552566473256385,-1.3221479682070405,0.7377459646236381,0.47183070757472684,1.8596311065969984,0.010115415734615274
2018-03-15,0.4593106195141224,-0.0072774520717137975,0.1945704136700153,-1.3188446791530521,-0.12490575314378229,-0.4201548217244112,0.5472993723314805,-0.009675484285103564
2018-03-16,0.41214353589622643,0.005136467527241998,0.13057410410544265,-1.3166756096056496,-0.6641601347724715,-0.21022401876780186,-0.0830232666048872,-0.03232832255926299
2018-03-19,-0.402659236882276,0.002966043758170612,-0.042372456215804315,-1.3155999546789212,0.2524558443674384,1.416330420936796,0.8624606917996643,-0.02154785734355391
2018-03-20,-0.41870577233745593,-0.009213039926410033,-0.16105886273632056,-1.3146009885431003,0.5759825912049049,-0.6824738754488366,1.1246749095971933,-0.026594382380690562
2018-03-21,-0.642098246345219,-0.03067254548397634,-0.2711095520790827,-1.3135860888038304,-0.28666912656251553,0.15699746978737047,1.4927833307360319,-0.05226603390999662
2018-03-22,-1.4326401591669495,-0.06991490615046138,-0.4819852525594276,-1.3141338773980795,0.1986209936936842,-0.00041914910630773227,0.3897187125973886,-0.07656942993591409
2018-03-23,-2.008953643436002,-0.13131820477323122,-0.7447778854752319,-1.3173766390877997,-0.7719592468187153,0.31441408868104864,-1.0285072250094387,-0.022130785801241504
2018-03-26,-0.8193118347478141,-0.18656791798321062,-0.6718063841926851,-1.3194465284379302,0.7377459646236381,0.7342756945942673,-0.03133681021210513,-0.05307905620276954
2018-03-27,-1.4619277630615155,-0.25056306675581075,-0.7755130071718284,-1.3227480930456148,1.2230360848798378,1.6787754079563366,1.0717278079265387,-0.05369550123027689
2018-03-28,-1.5747495047932125,-0.3199224002556413,-0.8391235019395299,-1.3259997293248493,0.46818347915866115,1.8885802776178306,0.7048800320655725,-0.00938811336133838
2018-03-29,-1.049695426360116,-0.3800428332319568,-0.7295651881799287,-1.3272047072094444,0.7377459646236381,0.9440805642557615,-0.7133459055412549,-0.006533921316872027
2018-04-02,-1.4767181193440533,-0.442169252397295,-0.7533529174378644,-1.3302868325200017,-0.8259235081912047,0.7866639453620833,-0.29355102800963406,-0.033422984386027865
2018-04-03,-1.2259809646815227,-0.4975866631717511,-0.6737950041955626,-1.3334183428883233,-0.9876868816099379,1.6262612238934053,0.6519329303949175,0.012542332963409342
2018-04-04,-0.8830977533764551,-0.5391455715373988,-0.5094557355479586,-1.3359089550769085,-0.23283427588876127,0.6817615105313362,1.177622011267848,0.023538832775655605
